Date,Site Actual,Site Pred,Site Lower,Site Upper,Cohort Actual,Cohort Pred,Cohort Flag
2022-06-07,0.0,111435.03289721135,67751.70372317285,152426.86269129117,130971.05,206811.24164339757,yes_negative
2022-05-08,187687.0,229993.545080963,189838.61731556244,271757.3869317811,304889.25,307094.4787109206,no
2022-05-01,203966.0,247584.24458716807,206238.08088906278,288245.72265191295,301225.65,314742.62518851424,no
2022-04-24,213915.0,269999.69792955776,225888.1245219435,311081.5110624188,310270.55,330563.49128945544,no
2022-04-23,171722.0,215473.98203267157,178256.1312808574,258463.59526275215,256298.1,292766.7506219527,no
2022-04-11,205004.0,246011.80424868834,206078.18993905335,286450.7842834769,284871.15,298054.636410958,no
2022-04-10,232125.0,300309.5974979069,253836.04226936708,342571.74333074706,331284.85,351512.78614265274,no
2022-04-09,191839.0,242850.7377124451,199207.79350795134,285679.6185400605,277915.3,310877.53794076014,no
2022-04-04,198533.0,244324.24472323403,203587.6600640352,286863.4504083808,277747.25,293169.5271550573,no
2022-04-03,232528.0,296750.49918317795,253809.9997014015,340005.9137828532,335048.2,345375.4834428891,no
